MAIN_ARTIST,EXPLICIT,ID,NAME,POPULARITY,DANCEABILITY,ENERGY,LOUDNESS,SPEECHINESS,ACOUSTICNESS,INSTRUMENTALNESS,LIVENESS,VALENCE,TEMPO,DURATION_MS,GENRES,LYRICS
Daulton Hopkins,false,3E8CvaJcwK13sf4lM6RoN4,I Melt with You,55,0.663,0.26,-11.577,0.0312,0.84,0.000346,0.111,0.32,118.061,217344,,"[Chorus] I've been foolish Told my friend's That I don't want to do this But me I just turn this to a full thing Now I see em changing Like a mood ring Yeah (Like a mood) I've been foolish Told my friend's That I don't want to do this But me I just turn this to a full thing Now I see em changing Like a mood ring  [Verse 1] I met a beauty she's keeping me steady Think she's my destiny, calling her Kelly She like my hand on her throat Got me doing the most Man I love how she rub on my belly Her peanut butter's the dope Like she's got burners and stove Bouncing her cat on my throat Then she handed mе a coat Cause it's been raining indoors When I got her on hеr fours, puddle the flours I had her scream to the Lord Neighbors be banging the doors They finna call the five-o I had to pull out of course Walk in the clouds with the force Keeping it two like divorce Squash all my beef like a wors Man that line was so whack How did I get so off-course  [Verse 2] I'll be ya Pappa You're fly like Rasta's puffing on ganja Ka go rata my cookie monster My Coco butter Cava, Netflix and lamza Without the sun up Sauna, under the covers The heat done gone up Came back with the rap spit For the new kings Dropping whack things With a full clip Shooting nonsense With some Ad-libs For a bad thing Drop down all her assets For the ratchets ka mô Hatfield Field shots for die quick quick Raw dog make you sick sick  [Chorus] I've been foolish Told my friend's That I don't want to do this But me I just turn this To a full thing Now I see em changing Like a mood ring Yeah (Like a mood) I've been foolish Told my friend's That I don't want to do this But me I just turn this To a full thing Now I see em changing Like a mood ring  [Verse 3] If they come to this I know that they will cancel you M's on my mind weighing heavy like Marjin Boo Dance with devil I'm hoping I make it through Felling like Micheal Jackson Wanna rock with you Said I'm an animal My type of skin ain't compatible Your type of face is so slap-able What is you saying I kill the track like I'm Hannibal I should expose you like Hannibal I want to get an estate Name on a shoe and the lace I gotta pray like I'm Ma$e Till y'all be red in the face Like I've been spraying some mace That's just the start of the case I gotta move at a pace Now that I've had me a taste Don't want to lose it I've been sipping on the music Feeling wavey like a cruise ship (Judas!)  [Chorus] I've been foolish Told my friend's That I don't want to do this But me I just turn this To a full thing Now I see em changing Like a mood ring Yeah (Like a mood) I've been foolish Told my friend's That I don't want to do this But me I just turn this To a full thing Now I see em changing Like a mood ring"
Rosie Carney,false,0GehqN1MkS7feXJWWk97KU,High And Dry,61,0.474,0.145,-14.402,0.0348,0.911,0.000991,0.126,0.157,106.597,232000,"indie folk,irish singer-songwriter,new americana","[Verse 1] Two jumps in a week, I bet you Think that's pretty clever, don't you, boy Flying on your motorcycle Watching all the ground beneath you drop Kill yourself for recognition Kill yourself to never, ever stop You broke another mirror And you're turning into something you are not  [Chorus] Don't leave me high Don't leave me dry Don't leave me high Don't leave me dry  [Verse 2] Drying up in conversation You will be the one who cannot talk All your insides fall to pieces You just sit there wishing you could still make love They're the ones who'll hate you When you think you've got the world all sussed out They're the ones who'll spit at you And you'll be the one screaming out  [Chorus] Don't leave me high Don't leave me dry Don't leave me high Don't leave me dry  [Bridge] Oh, it's the best thing that you've ever had The best thing that you've ever, ever had Yeah, it's the best thing that you've ever had The best thing you've had has gone away  [Chorus] Don't leave me high Don't leave me dry Don't leave me high Don't leave me dry"
Kina Grannis,false,7uuEfUMuPeQ7RlSWa0cES2,Can’t Help Falling in Love,1,0.266,0.0596,-18.515,0.0363,0.905,0.0000707,0.132,0.143,181.74,201933,"acoustic pop,neo mellow,viral pop","[Verse 1] Wise men say Only fools rush in But I can't help falling in love with you  [Verse 2] Shall I stay? Would it be a sin? If I can't help falling in love with you  [Chorus] Like a river flows Surely to the sea Darling, so it goes Some things are meant to be  [Verse 3] So take my hand Take my whole life, too For I can't help falling in love with you For I can't help falling in love with you"
Aaron Krause,false,65YDMuJmyF8cxTrk4Xogy0,Every Breath You Take (feat. Liza Anne),66,0.325,0.201,-11.595,0.0282,0.758,0,0.0977,0.172,81.869,223893,,"[Chorus] Every breath you take Every move you make Every bond you break Every step you take I'll be watching you  [Verse 1] Every single day Every word you say Every game you play Every night you stay I'll be watching you  [Pre-Chorus] Oh can't you see You belong to me How my poor heart aches with every step you take  [Verse 2] Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you  [Bridge] Since you've gone I've been lost without a trace I dream at night I can only see your face I look around, but it's you I can't replace I feel so cold and I long for your embrace I keep crying baby, baby please  [Pre-Chorus] Oh can't you see You belong to me How my poor heart aches with every step you take  [Verse 2] Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you  [Refrain] Every move you make Every step you take I'll be watching you  [Outro] I'll be watching you..."
Róisín O,false,0lpwplpsEws1hk5ekWXKEv,Lose You to Love Me,53,0.349,0.0929,-15.315,0.0529,0.944,0,0.0864,0.293,176.177,237955,irish pop,"[Verse 1] You promised the world and I fell for it I put you first and you adored it Set fires to my forest And you let it burn Sang off-key in my chorus 'Cause it wasn't yours I saw the signs and I ignored it Rose-colored glasses all distorted Set fire to my purpose And I let it burn You got off on the hurtin' When it wasn't yours  [Pre-Chorus] We'd always go into it blindly I needed to lose you to find me This dancing was killing me softly I needed to hate you to love me, yeah  [Chorus] To love, love, yeah To love, love, yeah To love I needed to lose you to love mе, yeah To love, love, yеah To love, love, yeah To love, yeah I needed to lose you to love me  [Verse 2] I gave my all and they all know it Then you tore me down and now it's showing In two months, you replaced us Like it was easy Made me think I deserved it In the thick of healing  [Pre-Chorus] We'd always go into it blindly I needed to lose you to find me This dancing was killing me softly I needed to hate you to love me, yeah  [Chorus] To love, love, yeah To love, love, yeah To love, yeah I needed to hate you to love me, yeah To love, love, yeah To love, love, yeah To love, yeah I needed to lose you to love me  [Bridge] You promised the world and I fell for it Rose-colored glasses all distorted Set fires to my forest And you let it burn Sang off-key in my chorus  [Chorus] To love, love, yeah To love, love, yeah To love, yeah I needed to lose you to love me, yeah To love, love, yeah To love, love, yeah To love, yeah I needed to lose you to love me, yeah To love, love, yeah To love, love, yeah To love, yeah  [Outro] And now the chapter is closed and done To love, love, yeah To love, love, yeah To love, yeah And now it's goodbye, it's goodbye for us"
Dermot Kennedy,false,66aH9gXNBfTJUikVIZfzcA,Days Like This,28,0.642,0.214,-9.25,0.198,0.909,0,0.122,0.38,80.444,149803,"folk-pop,irish pop,pop","[Verse 1] When it's not always raining, there'll be days like this When there's no one complaining, there'll be days like this When everything falls into place like the flick of a switch Well my mama told me there'll be days like this  [Verse 2] When you don't need to worry, there'll be days like this When no one's in a hurry, there'll be days like this When you don't get betrayed by that old Judas kiss Oh my mama told me there'll be days like this  [Verse 3] When you don't need an answer, there'll be days like this When you don't meet a chancer, there'll be days like this When all the parts of the puzzle start to look like they fit, yeah Then I must remember there'll be days like this  [Verse 4] When everyone is up front and they're not playing tricks, yeah When you don't have no freeloaders out to get their kicks, yeah When it's nobody's business the way that you want to live I just have to remember there'll be days like this  [Verse 5] When no one steps on my dream, there'll be days like this When people understand what I mean, there'll be days like this When you ring out the changes of how everything is Oh my mama told me there'll be days like this  [Outro] Oh my mama told me there'll be days like this Oh my mama told me there'll be days like this"
Lissie,false,1HrVc40jQbDRWIB9KreDti,Dreams - Piano Version,44,0.562,0.187,-9.156,0.0313,0.921,0,0.0813,0.199,117.594,274993,folk-pop,"[Verse 1] Now here you go again, you say you want your freedom Well, who am I to keep you down? It's only right that you should play the way you feel it But listen carefully to the sound of your loneliness  [Pre-Chorus] Like a heartbeat drives you mad In the stillness of remembering what you had And what you lost and what you had and what you lost  [Chorus] Thunder only happens when it's raining Players only love you when they're playing Say women they will come and they will go When the rain washes you clean, you'll know, you'll know  [Verse 2] Now here I go again, I see the crystal visions I keep my visions to myself It's only me who wants to wrap around your dreams And have you any dreams you'd like to sell? Dreams of loneliness  [Pre-Chorus] It's like a heartbeat drives you mad In the stillness of remembering what you had And what you lost and what you had and what you lost  [Chorus] Thunder only happens when it's raining Players only love you when they're playing Women they will come and they will go When the rain washes you clean, you'll know, you'll know  And thunder only happens when it's raining Players only love you when they're playing Say women they will come and they will go When the rain washes you clean, you'll know, you'll know You will know, you'll know"
Henry Green,false,76gehpLHsVLab7fnagEhUf,The Sweetest Taboo,52,0.569,0.129,-19.854,0.0401,0.942,0.0251,0.0963,0.15,93.894,172534,"indie soul,vapor soul","If I tell you, if I tell you now Will you keep on Will you keep on loving me? If I tell you, if I tell you how I feel Will you keep on bringing out the best in me? You give me the sweetest taboo That's why I'm in love with you  There's a quiet storm And it never felt like this before There's a quiet storm That is you  There's a quiet storm And it never felt this hot before Giving me something that's taboo  You give me the sweetest taboo That's why I'm in love with you You give me the sweetest taboo  You've got the biggest heart Sometimes I think you're just too good for me Every day is Christmas and every night is New Year's Eve  You give me the sweetest taboo That's why I'm in love with you You give me the sweetest taboo  Only the sweetest Only the sweetest"
Freedom Fry,false,3rcVJVqhuuKbVppaLXrxD5,Linger,61,0.572,0.285,-12.367,0.0316,0.789,0,0.0944,0.168,88.012,201136,"folk-pop,indie folk,shimmer pop,stomp and holler",(Love obsession)  [Verse 1] Just a kiss I can't resist The fever courses through your veins Ignites the flame inside You start to burn You start to yearn Heartbeat races like a train The hurricane beats tonight  [Chorus] (I need you) To feed this love obsession (I need you) I can't flush this fever from my heart (I need you) Freed from lust's possession (I need you) I can't keep my mind from falling apart Apart girl  [Verse 2] Eye to eye Scent is fly Nerves unleash a final touch It's all assured inside The way you feel Has a [?] That I've been searching for so much Gotta keep your body close to mine  [Bridge] (No resistance) ([?] resistance) (From within) From within ([?]) (What I'm needing) Can't hold it in Can't hold it in  [Chorus] To feed this love obsession Can't fight this feeling in my heart (I need you) (I need you) (I need you)  [Bridge] (No resistance) ([?] resistance) (From within) From within ([?]) (What I'm needing) (Can't hold it in) I can't hold it in no longer girl  [Chorus] Freed from love We're free from love's obsession Yeah Can't keep my mind from falling apart The way you feel [?] That I've been searching for so much (so much) I gotta keep your body close to mine Girl because you're one of a kind  [Chorus] (I need you) To feed this love obsession (I need you) Can't flush this fever from my heart (I need you) Freed from lust's possession (I need you) I can't keep my mind from falling apart (I need you) Freed from love Love  [Spoken] Oh girl You gotta feed This love obsession I think I need your love right now Baby Don't you know When I'll make love to you Tonight I ain't gonna give you no kind of slack baby 'cause I got this love obsession for you baby And I can't fight it baby You know I can't fight it Unh Baby You make me feel So So so so so so good baby Wooh Unh Can you feel it too?  You make my mind You make my mind You make my mind You make my mind fall apart girl You make my mind You make my mind fall apart girl 'cause I can't fight this feeling girl Yeah
Lotte Kestner,false,5mVDhLnXTHlBWJnMHXa9Qs,Halo,60,0.576,0.121,-17.343,0.036,0.952,0.00111,0.1,0.063,116.826,269920,indie psych-pop,"Remember those walls I built Well, baby they're tumbling down And they didn't even put up a fight They didn't even make a sound  I found a way to let you in But I never really had a doubt Standing in the light of your halo I got my angel now  It's like I've been awakened Every rule I had you breakin' It's the risk that I'm takin' I ain't never gonna shut you out  Everywhere I'm looking now I'm surrounded by your embrace Baby I can see your halo You know you're my saving grace  You're everything I need and more It's written all over your face Baby I can see your halo Pray it won't fade away  I can see your halo halo  Hit me like a ray of sun Burning through my darkest night You're the only one that I want And I'm addicted to your light  I swore I'd never fall again But this don't even feel like falling Gravity can't forget To pull me back to the ground again Feels like I've been awakened Every rule I had you breakin' The risk that I'm takin' I'm never gonna shut you out  Everywhere I'm looking now I'm surrounded by your embrace Baby I can see your halo You know you're my saving grace  You're everything I need and more It's written all over your face Baby I can feel your halo Pray it won't fade away  Halo halo halo halo I can feel your halo I can see your halo I can feel your halo I can see your halo Halo"
Molly Parden,false,2AhqPhQ4E1r9v2i2TfJHR0,Landslide,60,0.366,0.262,-12.635,0.0322,0.767,0.0000206,0.119,0.181,151.11,245907,"indie folk,new americana","[Verse 1] I took my love, took it down I climbed a mountain, and I turned around And I saw my reflection in the snow-covered hills Till the landslide brought me down  [Verse 2] Oh, mirror in the sky, what is love? Can the child within my heart rise above? Can I sail through the changing ocean tides? Can I handle the seasons of my life?  [Chorus] Well, I've been afraid of changing 'Cause I've built my life around you But time makes you bolder, even children get older And I'm getting older too Yeah I'm getting older too  [Chorus] Well, I've been afraid of changing 'Cause I've built my life around you But time makes you bolder, even children get older And I'm getting older too Yeah I'm getting older too  [Verse 1 (variation)] I take my love, take it down Oh, climb a mountain and turn around And If you see my reflection in the snow-covered hills Well, the landslide will bring you down  [Outro] And If you see my reflection in the snow covered hills Well, the landslide will bring you down Oh, the landslide will bring it down"
Ella Eyre,false,6yM9OJDDkLJyqYiAuC7J9R,Don't You Want Me - For Nest Audio Sessions,53,0.56,0.129,-12.27,0.0329,0.947,0.00000152,0.101,0.262,99.692,179086,"dance pop,pop,pop dance,post-teen pop,tropical house,uk pop","[Verse 1] You were workin' as a waitress in a cocktail bar When I met you I picked you out, I shook you up, and turned you around Into someone new  [Pre-Chorus] Don't, don't you want me? You know I can't believe it when I hear that you won't see me Don't, don't you want me? You know I don't believe you when you say that you don't need me It's much too late to find You think you've changed your mind You'd better change it back or we will both be sorry  [Chorus] Don't you want me, baby? Don't you want me, oh? Don't you want me, baby? Don't you want me, oh? Oh-oh, mm Mm-mm-mm, mm  [Verse 2] I was working as a waitress in a cocktail bar That much is true But even then I knew I'd find a much bettеr place With or without you  [Pre-Chorus] Don't, don't you want me? You know I can't beliеve it when I hear that you won't see me Don't, don't you want me? You know I don't believe you when you say that you don't need me  [Chorus] Don't you want me, baby? Don't you want me, oh? Don't you want me, baby? Don't you want me, oh-oh? Ooh"
The Hound + The Fox,false,4q0v24VXobXe0kTLb46Xa9,Shallow,54,0.581,0.297,-7.681,0.0354,0.251,0,0.123,0.329,95.691,221712,,"I'm lying on the moon My dear, I'll be there soon It's a quiet starry place Time's we're swallowed up In space, we're here a million miles away  There's things I wish I knew There's no thing I'd keep from you It's a dark and shiny place But with you my dear I'm safe and we're a million miles away  We're lying on the moon It's a perfect afternoon Your shadow follows me all day Making sure that I'm okay and We're a million miles away"
Tom Speight,false,4kG6Rt94q7eJaikOFrqsTn,Save Tonight,61,0.662,0.265,-13.387,0.0379,0.635,0.00845,0.0975,0.107,75.035,270698,indie anthem-folk,"[Verse 1: Tom Speight] Go and close the curtains 'Cause all we need is candlelight You and me and a bottle of wine To hold you tonight  [Pre-Chorus: Tom Speight] Well we know, I'm going away And how I wish, I wish it weren't so So take this wine and drink with me Let's delay our misery  [Chorus: Tom Speight & Lydia Clowes] Save tonight And fight the break of dawn Come tomorrow Tomorrow I'll be gone Save tonight And fight the break of dawn Come tomorrow Tomorrow I'll be gone  [Verse 2: Lydia Clowes] There's a log on the fire And it burns like me for you Tomorrow comes with one desire To take me away, it's true  [Pre-Chorus: Lydia Clowes] It ain't easy to say goodbye Darling please don't start to cry 'Cause you know I've got to go And Lord I wish it wasn't so  [Chorus: Tom Speight & Lydia Clowes] Save tonight Fight the break of dawn Come tomorrow Tomorrow I'll be gone Save tonight Fight the break of dawn Come tomorrow Tomorrow I'll be gone  [Bridge: Tom Speight & Lydia Clowes] Tomorrow comes to take me away I wish that I, that I could stay Girl you know I've got to go And hell I wish it wasn't so  [Chorus: Tom Speight & Lydia Clowes] Save tonight Fight the break of dawn Come tomorrow Tomorrow I'll be gone Save tonight And fight the break of dawn Come tomorrow Tomorrow I'll be gone  [Outro: Tom Speight & Lydia Clowes] Tomorrow I'll be gone Tomorrow I'll be gone Tomorrow I'll be gone"
