MAIN_ARTIST,EXPLICIT,ID,NAME,POPULARITY,DANCEABILITY,ENERGY,LOUDNESS,SPEECHINESS,ACOUSTICNESS,INSTRUMENTALNESS,LIVENESS,VALENCE,TEMPO,DURATION_MS,GENRES,LYRICS
Teenage Mutants,false,0OW70Ztlpc18jSTgdhQBEq,Follow Me,56,0.698,0.847,-6.74,0.0542,0.000632,0.865,0.134,0.0389,128.992,431628,dark techno,"[Intro: Pharrell Williams] Ugh, what  [Verse 1: Pharrell Williams] Explain yourself, how you sound like me? The motherfucking Skateboard P Knowing that you're Milo, playing games like Cee-lo In a tight situation like Speedos You can have it your way like Carlito My niggas would be happy to give y'all torpedoes And have your car twisted like a blunt For you faggot-ass niggas that like to front I'm on some BBC Bape shit, I'm on some cake shit In the kitchen with the heat, making beats in my apron You hating and you want to erase it Close your eyes when you know you can't take it My flow interrupts your homeostasis I Rolls-Royce it on a regular basis You talk street shit, it sound like sweet shit Straight licorice, you niggas sound ticklish 80K large for the Hermès dream Purple croc in all your magazines Hunger strike yourself, look like Céline, Dion Me and my niggas like Freon Your bitch is on my pecan, she got an ass you can eat on Try to play tough like the leather on a Vuitton I hit it 'til I could seat on, tryna get her freak on Ask me to R. Kelly you and get peed on I said, ""That ain't me, ma'am"" That eight behind me still got the burner Yes, the Enzo is still black like Sojourner Truth, I might have just loosened a tooth Spitting what I did in the booth, I'm out, poof  [Verse 2: Lupe Fiasco] Carrera, raised in the Teenage Mutant Ninja Turtle era Water-bearer tell the truth, I dare you You lie, so eat this whole bottle of these jalapeño peppers For terror made in America, too live Fuck the property or give me my props properly High off life, this high technology, DeVry I rep Muhammad Ali, more like rap-ology My policy's not to be dishonestly deprived So gimme that, gimme that, keep God where my city at I'm like steak and fries but never died They wanna Ghostface, wanna be me But they will post-haste follow me into the afterlife That means you going right after I've But I'm the hero, sorta like Jack Sparrow So some way, somehow, I have survived Ha, ha, surprised? Who is he that we see coming over the tides? In a speed boat, boatload of pride Fall of Rome, dress-shirted and mastermind tie He what happens when rapping and avant garde fashion collides OMG, it's the C from the CRS LOL-ing at you haters, tell your BFFs like  [Verse 3: Kanye West] Yes, Mr. West, turn that new Child Rebel Loud as a badass child level Who need a chorus? We do it Tyrannosaurus Tyrone, it's been a year with no phone Could you explain how high is your zone? We'll take the plane, rub his nose in cocaine There's hoes in magazines you layin' saying you're lame And for the hate in advance, pull down your pants Make 'em kiss both cheeks like we living in France Diamonds blue, his business manager's Jewish And if I get sued, my lawyers Jews Some girls do grab the cojones Say, ""You got enough diamonds to at least Sierra loan us"" Brand new Ferraris, I gotta make the donuts CRS is like a hip-hop Christmas bonus Niggas is hating on the internet, I couldn't tell I was too busy rapping, G.O.O.D. as hell I was too busy flying, parasail To Colette to get the new shit that Paris sell Tarantino, Da Vinci, getting Benjies Get half-off of Fendi, half of that's to Cindy's Hopped out the spaceship, put my Mork in Mindy Popped too many corks to let you dorks offend me Props in New York but Chi-Town's the city Get my groupie hoochies Gucci, Monica Belluccis Are those the real millionnaires or the bendies? I'm so ultra, I'm even over Oprah But let me check your account, haha, no sir"
AIROD,false,3T6NtWjH6klzhSsAGROlqY,Adrenaline,58,0.704,0.766,-8.238,0.0571,0.000703,0.903,0.0924,0.0646,133.99,411267,"french techno,minimal dub,raw techno","[Zwrotka 1: Liber] Pierwszy promień, gorący jak płomień Zobacz kwitnie Poznań, wyjdź, poznaj ich anatomię Ciasna garderoba nie schowa wiele, nie strzelę se w łeb Takie ciało jak jej truje, gotuje krew Impuls zjawia się jak intruz, teraz myślę czym czarować Jak atakować, jak zdobyć trofeum Słodycz mnoży się, dąży do apogeum Czemu oprzeć się temu boskiemu dziełu To jakaś chemia, spontan, elektryczność Ciężko opisać, niełatwo zawinąć w pismo Słowo nie zrobi tego fachowo Lepiej milczeć i bez bawełny uwieść owoc Póki pełen miąższu doznać wstrząsu, łyknąć emocji Na przebudzenie to jedna z najlepszych opcji W szybkim trybie chodnik jak wybieg Można oszaleć, karmimy oczy każdym detalem Cali od butów do centrali wpadamy w paraliż Krążą mililitry adrenalin Afrodyzjak wszedł w organizm, czuję, że żyję Daje mi siłę na chwilę, umilę czas choć na chwilę  [Refren: Sylwia Grzeszczak] Czasem jutro nas zalewa łzami A miało być gładkie jak aksamit Niesmak można zabić afrodyzjakami Czasem jutro nas zalewa łzami A miało być gładkie jak aksamit Niesmak można zabić afrodyzjakami  [Zwrotka 2: Kris] Rzadko słodkie, często gorzkie To życie pędzi na falochron By rozbić się jak fale morskie Nieznane są wyroki boskie Od świtu aż do zmierzchu tor przeszkód Chcąc pokonać proszkiem i wódą Przywaliłbym się grudą Zaprzeczyłbym cudom Jakie niesie nam natura, jej usta, jej szyja Jej skóra, a godzinę złą jest akurat Jutro ona będzie tą złą godziną Która zmusza do szukania kolejnej ucieczki Kolejna ucieczka i do kolejnej sprzeczki To koło się zamyka, nie ma dokąd się wymykać Zostałem tylko ja, modlitwa i muzyka W czterech ścianach szukać odurzenia To sam na siebie zamach Hipokryzja jak każda decyzja By skosztować ugryźć, delektować się I dla siebie zachować tak chce każdy mężczyzna Przyznaj, że to piękna wizja A tu tylko kusi złudny afrodyzjak On jutro będzie jak trucizna Jutro będzie jak trucizna I pozostanie po nim tylko blizna  [Refren: Sylwia Grzeszczak] Czasem jutro nas zalewa łzami A miało być gładkie jak aksamit Niesmak można zabić afrodyzjakami Czasem jutro nas zalewa łzami A miało być gładkie jak aksamit Niesmak można zabić afrodyzjakami  [Zwrotka 3: Doniu] Jak zwykle spieprzyłem weekend - moja wina Miał być chill-out, jest dystans liczony w milach SMS? - nic, pusta skrzynka odbiorcza Kara za egoizm, brak impulsu na łączach Przybity przy bitach, ty gdzieś sama na mieście Ile jeszcze kurwa w środku cały wrzeszczę Gram na nerwach nam, gram całą orkiestrę Taki typ, taki niestety jestem Gdzie ten uśmiech, dom, gdzie twoje zgrywy Patrzę w lustro, stop zatarłem tryby dziś Gdzie tu puenta? tam, gdzie rozwiązanie We mnie szukam wciąż i nie przestanę Bo tylko tak mogę naprawić co złamałem Miałem nie obiecywać - obiecałem Bez sensu nie wiem skąd u ciebie ta siła Że jeszcze wytrzymujesz ze mną, jesteś tak cierpliwa Słowa nie pomogą, głowę zwieszam nisko Nie chcę by to prysło chciałbym mieć cię bliżej Dziś za oddech twój bym oddał wszystko A tak siedzę z telefonem z nosem wbitym w szybę  [Refren: Sylwia Grzeszczak] Czasem jutro nas zalewa łzami A miało być gładkie jak aksamit Niesmak można zabić afrodyzjakami Czasem jutro nas zalewa łzami A miało być gładkie jak aksamit Niesmak można zabić afrodyzjakami  [Tekst i adnotacje na Rap Genius Polska]"
Dok & Martin,false,2jv1I7mLxwhkcO7acO4vGO,Nebula,52,0.733,0.949,-7.427,0.0657,0.0615,0.88,0.12,0.387,131.998,359184,spanish techno,Solar boats & space cadets I haven't seen a black hole yet Been on this trip for aeons now Lazer-beams all outta sight Truckin' through the eternal night Swiming in the sea of possibility This galaxy is getting too boring to me  Do the space cadet boogie  The troubles on the Cygnus planes I was there and left again Petty wars don't matter much to me Loaded now on Nebula blow- All shook up and ready to go to Madam Lunas place of blue lights I'm gonna get me some Martian ass tonite!  Do the space cadet boogie!
Teenage Mutants,false,4Cv1WKAbqrIbc9qltfyvAD,Fortune,43,0.767,0.903,-4.742,0.0502,0.00075,0.88,0.107,0.0796,129.998,362806,dark techno,"[Verse One: Laz] If I had a dollar for every dollar that I never had I’d be a millionaire, writing with a platinum pen and pad Combination, backpacker subwoofer rap The front seat McClaren, speeding, back to the future rap World supposed to end, 2012, you remember that? About to kill the game, fuck it, take away, bring it back Every day is like with Hades’ babies laying that I been to Hell and back Raise your thermostat, stat you little niggas The phoenix has risen, I flap my wings and set fire to pigeons Society’s menace, live for the day, tomorrow ain’t given The type of work we putting in, we ain’t promised a pension A artist, give this stomach empty and starving no easel A brush, I still paint you a picture regardless Mona Lisa with a black woman’s features Turn it up, J-Roc is in your speaker’s nigga, get ‘em  [Verse Two: J-Roc] A user to a medical cabinet full of Viagra tablets I go hard as the heart of a Devil’s Advocate To talented rappers, you ain’t swagging The brainiac, rap radius ripping your radio Your speakers equivalent to the shirt on the back of a Hulkamaniac It’s Hulkamania, swapping the yellow for the green, Bruce Banner Bruising beats up, I’m a loose cannon, the gamma grammar, radiation My pen’s a hammer, go Hamlet, Othello, Romeo The Shakespeareans to get you rolling like Polio You don’t know me though, mic checking for my boom bap brethren Roundhouse and a kickdrum with a slice of pizza Better than Michael Angelo and Ilajide’s Donatello The teenage mutants are in the twenties now, hello nigga Terminator terminology, guillotine Gatling gun Grammar the anomalies for fulfilling this prophecy Ducking and dodging poverty, we on this rap shit Coming equipped with an apostrophe  [Verse Three: E-Fav] See, I was born to touch the millions of the masses From down the coast to Africa to over the hills in Nazareth Properly polished kicks, a Tiger fitted and an ice pick To chisel at you niggas coming at us on that other shit Paper we gotta get, we build it up and they demolish it But them Reagan Era politics produced a bunch of college kids Cop and drink a fifth, thinking of all the life you missed I’m talking C’s thrown away, she ramming ‘em on her tits It’s gotta be more than this, fake shit, can’t stomach To all my enemies, envy me, no pun intended Thought I mentioned my intention from the jump start Swerving right through these mazes, tryna gather my thoughts Me and all of this art, Picassos and Warhols jotting these vivid memoirs I’m King Beef with big balls, this require some thought A bag of weed and a glass of Hen and digest and comprehend And by the time it blend a potent cocktail and my tale stuffed In a bunch of bullet shells, bucking ‘em until we prevail, crack Nigga where your scale? Then all them hoes be dying to show us they tails Split ‘em and roll three L’s, stressing about the details  [Verse Four: Ilajide] Hell way, it’s the Midwest Quartet, I’m Cortez My soul a Corvette crashing upon your doorstep Transmission in faucet, oil burst through the closet Michael Wazowski wordsmith, Monsters Inc on the topic Players, watch the sausage purge, you know I’m into pig It’s murdering, it’s mortal, fuck Jax Briggs, Sonya Blade Every day it’s a new wave of control, I’ll isolate my mindstate With BB Dre headphones nigga, shut ‘em down like overdrive For 90 days or more, uh-uh oh, take your CD case Replace it with my demo, rush it right into the station Bitch, I’m racing with an M-O, get it in like Doris Lynn Doing Limbo in a limo till they film on Jimmy Kimmel I say oh that’s me, no more writing in the cracks Of my wrapped up fortune cookie, no more felonies in tact Word to my nigga Wimpy, can’t even see the tat They coming back to ‘ford the pussy, root of all evil Like Poison Ivy’s family tree, I get around like Shock G 2 P-A-C, now Humpty Humpty keep it thumping like a M-79 Rhyming C-O-D and if you didn’t catch it, press rewind nigga"
Cosmic Boys,false,72fS4JvztocT9TmvYx0Wzd,Dawn,51,0.744,0.903,-6.081,0.0778,0.00215,0.885,0.0912,0.0392,128.011,381094,"dark techno,tech house","I don't wanna be that cityboy Running timeless streets again I don't wanna be that cityboy Stumbling down the streets my friend  Underneath my skin there's an eagle Underneath these clouds there's an ego Underneath my sin there's an eagle Underneath this, underneath this  Underneath my skin there's an eagle Underneath these clouds there's an ego Underneath my sin there's an eagle Underneath this clouds there's an ego  I don't wanna be that cityboy Stumbling down the streets again I don't wanna be that cityboy Running timeless streets my friend  Underneath my skin there's an eagle Underneath these clouds there's an ego Underneath my sin there's an eagle Underneath this, underneath this  Underneath my skin there's an eagle Underneath these clouds there's an ego Underneath my skin there's an eagle Underneath this clouds there's an ego  You're moving around And heavenly you move in town You're moving around And heavenly you move in town  Underneath my skin there's an eagle Underneath these clouds there's an ego Underneath my sin there's an eagle Underneath this clouds there's an ego"
D3FAI,false,2rMvXqXAKzz2qOvm1f9jQs,The Future,13,0.709,0.886,-9.997,0.0643,0.0182,0.862,0.095,0.348,131.994,384307,"big room,sky room","[Paroles de ""Billets verts""]  [Intro] Back to the Future Izi  [Refrain] Derniers gamos, dernières tes-pu, dernières pes-sa MC tu donnes ton cul, ta monnaie pue d'la tte-cha Brrr! Machine à billets, billets verts Tout, tout pour la monnaie Brrr! Brrr! Billets verts  [Couplet unique] J'suis sûr de gagner, comme Barça-Lorient Mon flow est kalashé, swag Moyen-Orient mieux que Kanye Très courtes relations, j'n'aime pas qu'les putes me questionnent Violente est ma narration, rempli de haine, j'n'ai que de l'amour pour quelques personnes Apprécie le bling, te demande pas combien ça a coûté Salopes en string autour de moi, ces putes sont maraboutées J'suis B.O.S.S. donc j'baise la patronne Où je me trouve ? Dans l'coeur des youvs, dans l'cul d'la matonne La mafia n'oublie pas, mais elle te pardonne Gallardo noire tout en carbone 92i, on parle d'eux de M.I.A à Montigny Fuck les stups du 9.2, fuck la crim' de Bobigny Trop de lances-ba mais tout se paie, on the rocks mon Hennessy Quand on n'sait pas on se tait, quand on sait on s'tait aussi Oui, oui monsieur j'fume que du meu-se Si le game ou un rappeur me recherche dis lui qu'j'suis sûrement dans l'cul d'sa reu-se J'vais cracher, ouvre la che-bou Négro parano, calibré même sous la che-dou Balaise comme Shrek il m'faut ma Fiona, 2-3 chèques puis petit sauna T'as ceci, t'as ceci-cela donc l'équipe te saucissonne Pas toujours l'temps d'faire de la promo Bakel dans les chromosomes, 0 à 100 en 3 secondes chrono Zoome sur mon flag, impacts de balles forment mon logo Zoome sur mon flag, impacts de balles forment mon logo B2o  [Refrain] Derniers gamos, dernières tes-pu, dernières pes-sa MC tu donnes ton cul, ta monnaie pue d'la tte-cha Brrr! Machine à billets, billets verts Tout, tout pour la monnaie Brrr! Brrr! Billets verts"
Belocca,false,6GwHqZ8aM58nTcGzulYmsm,Rave Cave,52,0.652,0.856,-7.86,0.0418,0.000542,0.915,0.0737,0.0857,132.012,444085,"dark techno,funky tech house,hungarian techno,tech house","[Ritornello] Sono il re dei demoni, demoni, demoni, demoni Sono il re dei demoni, demoni, demoni, demoni Sono il re dei demoni, loschi, demoni, demoni Sono il re dei demoni, foschi, demoni, demoni Sono il re dei demoni  [Strofa 1] Stanno in testa e non se ne van mai (non vanno) Perché fanno festa dentro me ora sono guai (sta attento) Lago nei Yamamay (ehy), sballano Blue Sky (ehy) Bye bye, li sento, inferno eterno dentro lo sterno Perno interno, non controlli contro ogni previsione Che avevi, ogni azione porta al “bevi bevi bevi” Non so più chi sono (boh), non so dove mi trovo (boh) Cervello fuso, secerno fumo, poi nel covo consumo quindi Scrivo per liberarmi, loro mi ammazzano, feel the pain Sembra un rave bloccato in a cave con demoni in testa (Cobain) Calo la dose di cose illegali comprate all’angolo Salgo la vena piena di fatali fate che piangono (FC) Sento dolore, pure nelle rime, demoni come una lama fine Infine infame, hanno fame di fare male e va a finire (finish) Col naso dalle medie distrutto non per un pugno Colpa di demoni dentro che m’han permesso il debutto  [Ritornello] Demoni, demoni, demoni, demoni Sono il re dei demoni, demoni, demoni, demoni Sono il re dei demoni, loschi, demoni, demoni Sono il re dei demoni, foschi, demoni, demoni Sono il re dei demoni  [Strofa 2] Medie passate a Rogoredo Senza (ehy) badare agli effetti che intanto mi correvano dietro (ehy) Dicevo: “non accradà niente, tutti ne parlan bene” (ehy) Finché un amico è morto per la merda nelle vene (merda) Ttoma tutti i giorni, ttofa non ritorni, no ricordi Di ieri, “cervello dov’eri? perchè non c’eri?” (dov’eri?) Han portato via un amico, ho scovato il nemico Perduti in mezzo a lotte, 2 minuti mezzanotte (tic tac tic tac) Demoni ladri, retori acri, givi ruba, nera buca (ehy) Lutto affianco, bullo blanco, tutto bianco, butto tutto (FC) Capo chino, capo spino, scapo mio, fino, rigo (ehy) La penna piange (ehy), la lama gela (ehy), la selva tange (ehy), la casa cela (ehy) Arrivato nella selva, prima dei 35, dentro Lingue di fuoco, sai che non si distingue Vita e morte, bene e male, vedevo solo scale (go down) Andavo giù, finquando ho spento la neve dentro al drum  [Ritornello] Demoni, demoni, demoni, demoni Sono il re dei demoni, demoni, demoni, demoni Sono il re dei demoni, loschi, demoni, demoni Sono il re dei demoni, foschi, demoni, demoni Sono il re dei demoni (demoni demoni)"
T78,false,2zQvCDoNh9hG0AFSCQzj1y,New World,51,0.665,0.946,-4.429,0.0585,0.000893,0.406,0.143,0.163,129.992,350769,"dark techno,german dark minimal techno,italian techno,raw techno","[المقطع الأول] Fb7ar dkrimi semini, l' commando COUSTEAU O falsafat 3ilm l2jram, ana ARISTOTE Kharej l9anoun o la3eb, m3a elli fousto O le7ram o l7lal, kanmexihoum f7al DJ TIESTO Chi3ari ""jib l3ez m3aya wella k7ez lme9bara"" Chi3ar d MOUAMMAR al-KADHAFI machi TCHIKIVARA Lihoud o l'Msselimine, f bezness f7al enssara 7it l7adar 7agarra o ana kantragar f mrara Chrabt eddel o l7agra o l9ahra kab9it kant9aya Raddit elli f9albi kamel o ghselto b sem del7aya Lmabadi2 o l2akhla9 o damir, f khabar kane O edine dyali bezness, o ma3andouchi l2arkane Makan3rafchi lmemnou3, ma3andichi lefrane O 7it m'chijra me9tou3,kniya dyali flane   [اللازمة 1] Khalli drrari 7assline 7assline, 7assline, 7assline, 7assline  [المقطع الثاني] Kanbi3 l7chich belkilo, 9rani charkine fejwana Bdit l2ijram 3la 11 3am, tiya7t btana Ba3ouni lkhawan lelmekhzen tla3t b 10,Ana Dkhoult lel7absse sleb, khrej TONY MONTANA Fel7absse 9rit l9anoun dela3b m3a enasse lekbar Jebrouli edakhla l réseau d PABLO ESCOBAR Coca majja m COLOMBIA f blebrakousse 9at3a lab7ar Olmekhzen skato kitchera f Swissra b $ L'import o l'export m SINGAPOUR l'Casa port L héroïne majja m3and l2afghan o ana sponsore Sani m3a daoula kontra echa3b, Contrat 9wad m BELFORT Dakhal edrouga t7an echa3d, o khalli stafette eddour Rasse mali le7zane, f7al chi 7affar le9bour Ocha3b 3andi debane, 7it ana diktatour  [اللازمة 2] Khalli jnaka 7assline 7assline, 7assline, 7assline, 7assline  [المقطع الثالث] 1 million ,2 millions, 3 millions,four Leflousse,we essoulta ossla7, f7al chi imbratour 4 millons, 3 millions,2 millons, one Elli w9af bgharti kitemsa7, tama9a 7ta chi one Moroccan gangster o fessou9 la3eb solo B3id f7al le9mar bach tel7a9ni khessek Apollo Khaddam m3a l MOSSAD, o m3a l US o sa3oudiya Programme del ADM d SADDAM bi3to l CIA Kantjesse, kanbeznez, kankharba9, o 3andi l7assana Katjewej, kanewled, kantela9, o 3andi l7adanna 3andi l7adanna dflousse, wlad edrouga Kantela9 edrouga katestoka flousse f bnoka 3andi l7assana, d New World Order O storya dyali m3a Iblise ba9i majji n3aoudda   [اللازمة 3] Khalli msselmine 7assline 7assline, 7assline, 7assline, 7assline"
Alex Stein,false,4hl7Fu604rMlt4viCJmSN9,Headrush,52,0.693,0.867,-10.746,0.0447,0.0215,0.876,0.119,0.299,130,353086,"brazilian techno,dark techno","[Intro] There was me, Alex.. and three of my mans All supposed to meet at Korova Milk Bar The Korova Milk Bar couldn't afford its liquor license So it sold milkplus Drencrom, or Synthmesc It would sharpen you up for a bit of the ol' ultraviolence Which plagued our minds for the evening And so kiddies... death for all, right right?! RIGHT RIGHT!!  [Verse 1: Cage] I'm Against the Machine like Rage; bitches say, ""I hate you Cage!"" After circle jerks, I wash my hands off and do dirt Sick with a smirk, plus happy disturbed Fucked the first two bitches like dogs and I jacked off on the third I'm obvious oblivion but that's my science Fuck your head up like corn rows put in by blind giants Haven't been with it, since the last corpse Kidded, wore a blood stained smile, and told the cops, ""He did it!"" Of course the most raw throughout the 9-1-4, 1-0-9-4-0 Got you beasts shook like Doc Moreau Pour beer out for yourself because you're walking dead I'll burn your house down like a fucking Talking Head And get high like fuck, and pick apart my brain Dissections may mentally cause infections Break you with inventions, sick intentions Leave most MC's lost in my sentence I'm strictly Beyond and Back, come and get me Hemotobin, left from a lip like a hickey Leak smoke got me ready to murder a rookie Killers on your block tuck in they dicks like Tootsie Come and witness what your shit missed Watch the Glock kiss, Little Sis' wet her like a Baptist Inconvenience; dilemma, like sitting on, Venus With no shuttle, treeless Try and pick apart some Agent Orange perception Catch frontal lobe damage and not manage correction I smell leak smoke, left by the anonymous Beats brought back to life die when I'm embalmin' this Come around and get yo' ass shot to clusters I'mma play the Injuns with the arrows you be Custer's... back I ride up on you, divorce your head and neck then scalp it Rip off all your flesh and make a outfit  [Scratched Hook] People said his brain was infected by devils  [Verse 2: Cage] I survived abortion; got mushed in that canister-shaped coffin 'til stolen from the garbage I was tossed in Instincts, snatch your cream like links Blow shotguns through the sky, making E.T. eyes chink See me twisting leak with my peeps from psychiatrics Get high, run up in your crib and fuck your moms backwards Lost in the dust, don't give a fuck about dangerous I'm in it for the whip, plus the cream and the head.. rush Ready to bust any trick that talk slick Know a crew of devils in my head that force me to walk.. With, Death in my pocket for the curious At your execution see twelve faces of Jesus in your jury this Orange Agent, shit on a vagrant Caught you in the alley by yourself and left your head vacant Dare you sample, some of the stress in my life Give an MC brain surgery with butterfly knife For all you cunts that try to spit with your bitch clique behind ya Wake up in the morning with a horse head beside ya Ma Dukes is just a cherry on top Spending G's on quacks to try and fix my Clock I caught the quick lock, buggin' in the institution Whatever sanity was left, caught the execution Psychological pollution, they stickin' me with Thorazine solution Shooting at the sky looking for Godly retribution And I can almost see clear I start buggin' like a insect and lay larvae in your ear Agent Orange stomping on MC corpse slim circle body part Call murder scenes abstract art Split your sweetbreads it's the horror show in infra-red Boots get planted in chest there for the misled Lay it down for naps in the dirt, just like Clockwork Undress your ghost while your brain's taking a squirt  [Scratched Hook] People said his brain was infected by devils"
Patrik Berg,false,0KsmW0uvjP3c4s7Lno18bm,Hope,55,0.777,0.691,-6.097,0.0419,0.0605,0.883,0.101,0.0391,131.013,461679,dark techno,"Hey Jason Botterill, do you like it in this city? I've been watching all these games, and well This team's not looking pretty from my view The spotlight's shining bright on you To make a move  Hey Jason Botterill, I'm sure things are not that easy But your answer to our scoring woes Was Johansson and Vesey Well it's true Without Jack Eichel we'd be screwed What would we do?  Oh you gotta do something (x4)  Hey Jason Botterill, that O'Reilly trade was rough How could you think that Patrik Berglund and Sobotka were enough? It sounds insane But I hear O'Reilly's doing great... so they say  Hey Jason Botterill I just hope you have the answers 'Cause our rink's starting to look and feel just like the Florida Panthers' And it's tough It's a situation where this sucks Enough's enough  Oh you gotta do something (x4)  Three thousand days seems pretty long The team we had was once so strong I think about 2006 each day The whole league just makes fun of us And we just laugh along because It's a way to deal with all the pain Botterill I'll just say to you I really hope you get us through We have all these defensemen that don't play Make a trade  Hey Jason Botterill, I don't have much left to say Because like Risto and Ryan I've lost my love of this game And it's a shame At least we have the Bills to play postseason games  Oh you gotta do something (x4)"
